geometry,State,州,議席,State abbreviation,Seat,raceID,結果
"{""type"":""Polygon"",""coordinates"":[[[14,0.1],[15,-0.5],[15,1.8],[14,1.2],[14,0.1]]]}",Alabama,アラバマ,改選,AL,1,1683,共和党
"{""type"":""Polygon"",""coordinates"":[[[16,0.1],[15,-0.5],[15,1.8],[16,1.2],[16,0.1]]]}",Alabama,アラバマ,共和党（非改選）,AL,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[0,10.3],[1,9.7],[1,12],[0,11.4],[0,10.3]]]}",Alaska,アラスカ,改選,AK,1,2933,残り
"{""type"":""Polygon"",""coordinates"":[[[2,10.3],[1,9.7],[1,12],[2,11.4],[2,10.3]]]}",Alaska,アラスカ,共和党（非改選）,AK,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[5,1.8],[6,1.2],[6,3.5],[5,2.9],[5,1.8]]]}",Arizona,アリゾナ,改選,AZ,1,3002,民主党
"{""type"":""Polygon"",""coordinates"":[[[7,1.8],[6,1.2],[6,3.5],[7,2.9],[7,1.8]]]}",Arizona,アリゾナ,民主党（非改選）,AZ,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[11,1.8],[12,1.2],[12,3.5],[11,2.9],[11,1.8]]]}",Arkansas,アーカンソー,改選,AR,1,5103,共和党
"{""type"":""Polygon"",""coordinates"":[[[13,1.8],[12,1.2],[12,3.5],[13,2.9],[13,1.8]]]}",Arkansas,アーカンソー,共和党（非改選）,AR,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[3,2.9],[3,1.8],[4,1.2],[4,3.5],[3,2.9]]]}",California,カリフォルニア,改選,CA,1,8516,民主党
"{""type"":""Polygon"",""coordinates"":[[[5,2.9],[5,1.8],[4,1.2],[4,3.5],[5,2.9]]]}",California,カリフォルニア,民主党（非改選）,CA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[6,3.5],[7,2.9],[7,5.2],[6,4.6],[6,3.5]]]}",Colorado,コロラド,改選,CO,1,7190,民主党
"{""type"":""Polygon"",""coordinates"":[[[8,3.5],[7,2.9],[7,5.2],[8,4.6],[8,3.5]]]}",Colorado,コロラド,民主党（非改選）,CO,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[21,5.2],[22,4.6],[22,6.9],[21,6.3],[21,5.2]]]}",Connecticut,コネティカット,改選,CT,1,9147,民主党
"{""type"":""Polygon"",""coordinates"":[[[23,5.2],[22,4.6],[22,6.9],[23,6.3],[23,5.2]]]}",Connecticut,コネティカット,民主党（非改選）,CT,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[18,3.5],[19,2.9],[19,5.2],[18,4.6],[18,3.5]]]}",Delaware,デラウェア,民主党（非改選）,DE,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[20,3.5],[19,2.9],[19,5.2],[20,4.6],[20,3.5]]]}",Delaware,デラウェア,民主党（非改選）,DE,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[23,1.8],[24,1.2],[24,3.5],[23,2.9],[23,1.8]]]}",District of Columbia,ワシントンDC,,DC,1,,
"{""type"":""Polygon"",""coordinates"":[[[25,1.8],[24,1.2],[24,3.5],[25,2.9],[25,1.8]]]}",District of Columbia,ワシントンDC,,DC,2,,
"{""type"":""Polygon"",""coordinates"":[[[16,-2.2],[16,-3.3],[17,-3.9],[17,-1.6],[16,-2.2]]]}",Florida,フロリダ,改選,FL,1,11160,共和党
"{""type"":""Polygon"",""coordinates"":[[[18,-2.2],[18,-3.3],[17,-3.9],[17,-1.6],[18,-2.2]]]}",Florida,フロリダ,共和党（非改選）,FL,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[15,-0.5],[15,-1.6],[16,-2.2],[16,0.1],[15,-0.5]]]}",Georgia,ジョージア,改選,GA,1,12588,残り
"{""type"":""Polygon"",""coordinates"":[[[17,-0.5],[17,-1.6],[16,-2.2],[16,0.1],[17,-0.5]]]}",Georgia,ジョージア,民主党（非改選）,GA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[0,-3.3],[1,-3.9],[1,-1.6],[0,-2.2],[0,-3.3]]]}",Hawaii,ハワイ,改選,HI,1,12211,民主党
"{""type"":""Polygon"",""coordinates"":[[[2,-3.3],[1,-3.9],[1,-1.6],[2,-2.2],[2,-3.3]]]}",Hawaii,ハワイ,民主党（非改選）,HI,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[3,5.2],[4,4.6],[4,6.9],[3,6.3],[3,5.2]]]}",Idaho,アイダホ,改選,ID,1,14055,共和党
"{""type"":""Polygon"",""coordinates"":[[[5,5.2],[4,4.6],[4,6.9],[5,6.3],[5,5.2]]]}",Idaho,アイダホ,共和党（非改選）,ID,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[11,5.2],[12,4.6],[12,6.9],[11,6.3],[11,5.2]]]}",Illinois,イリノイ,改選,IL,1,16413,民主党
"{""type"":""Polygon"",""coordinates"":[[[13,5.2],[12,4.6],[12,6.9],[13,6.3],[13,5.2]]]}",Illinois,イリノイ,民主党（非改選）,IL,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[13,5.2],[14,4.6],[14,6.9],[13,6.3],[13,5.2]]]}",Indiana,インディアナ,改選,IN,1,15765,共和党
"{""type"":""Polygon"",""coordinates"":[[[15,5.2],[14,4.6],[14,6.9],[15,6.3],[15,5.2]]]}",Indiana,インディアナ,共和党（非改選）,IN,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[9,5.2],[10,4.6],[10,6.9],[9,6.3],[9,5.2]]]}",Iowa,アイオワ,改選,IA,1,17246,共和党
"{""type"":""Polygon"",""coordinates"":[[[11,5.2],[10,4.6],[10,6.9],[11,6.3],[11,5.2]]]}",Iowa,アイオワ,共和党（非改選）,IA,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[9,1.8],[10,1.2],[10,3.5],[9,2.9],[9,1.8]]]}",Kansas,カンザス,改選,KS,1,17681,共和党
"{""type"":""Polygon"",""coordinates"":[[[11,1.8],[10,1.2],[10,3.5],[11,2.9],[11,1.8]]]}",Kansas,カンザス,共和党（非改選）,KS,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[12,3.5],[13,2.9],[13,5.2],[12,4.6],[12,3.5]]]}",Kentucky,ケンタッキー,改選,KY,1,18847,共和党
"{""type"":""Polygon"",""coordinates"":[[[14,3.5],[13,2.9],[13,5.2],[14,4.6],[14,3.5]]]}",Kentucky,ケンタッキー,共和党（非改選）,KY,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[10,0.1],[11,-0.5],[11,1.8],[10,1.2],[10,0.1]]]}",Louisiana,ルイジアナ,改選,LA,1,20555,共和党
"{""type"":""Polygon"",""coordinates"":[[[12,0.1],[11,-0.5],[11,1.8],[12,1.2],[12,0.1]]]}",Louisiana,ルイジアナ,共和党（非改選）,LA,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[23,9.7],[23,12],[22,11.4],[22,10.3],[23,9.7]]]}",Maine,メーン,民主党（非改選）,ME,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[23,9.7],[23,12],[24,11.4],[24,10.3],[23,9.7]]]}",Maine,メーン,共和党（非改選）,ME,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[16,3.5],[17,2.9],[17,5.2],[16,4.6],[16,3.5]]]}",Maryland,メリーランド,改選,MD,1,21744,民主党
"{""type"":""Polygon"",""coordinates"":[[[18,3.5],[17,2.9],[17,5.2],[18,4.6],[18,3.5]]]}",Maryland,メリーランド,民主党（非改選）,MD,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[20,6.9],[21,6.3],[21,8.6],[20,8],[20,6.9]]]}",Massachusetts,マサチューセッツ,民主党（非改選）,MA,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[22,6.9],[21,6.3],[21,8.6],[22,8],[22,6.9]]]}",Massachusetts,マサチューセッツ,民主党（非改選）,MA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[14,6.9],[14,8],[15,8.6],[15,6.3],[14,6.9]]]}",Michigan,ミシガン,民主党（非改選）,MI,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[16,6.9],[16,8],[15,8.6],[15,6.3],[16,6.9]]]}",Michigan,ミシガン,民主党（非改選）,MI,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[8,6.9],[9,6.3],[9,8.6],[8,8],[8,6.9]]]}",Minnesota,ミネソタ,民主党（非改選）,MN,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[10,6.9],[9,6.3],[9,8.6],[10,8],[10,6.9]]]}",Minnesota,ミネソタ,民主党（非改選）,MN,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[12,1.2],[12,0.1],[13,-0.5],[13,1.8],[12,1.2]]]}",Mississippi,ミシシッピ,共和党（非改選）,MS,1,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[14,1.2],[14,0.1],[13,-0.5],[13,1.8],[14,1.2]]]}",Mississippi,ミシシッピ,共和党（非改選）,MS,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[10,4.6],[10,3.5],[11,2.9],[11,5.2],[10,4.6]]]}",Missouri,ミズーリ,改選,MO,1,27023,共和党
"{""type"":""Polygon"",""coordinates"":[[[12,4.6],[12,3.5],[11,2.9],[11,5.2],[12,4.6]]]}",Missouri,ミズーリ,共和党（非改選）,MO,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[4,6.9],[5,6.3],[5,8.6],[4,8],[4,6.9]]]}",Montana,モンタナ,民主党（非改選）,MT,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[6,6.9],[5,6.3],[5,8.6],[6,8],[6,6.9]]]}",Montana,モンタナ,共和党（非改選）,MT,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[8,3.5],[9,2.9],[9,5.2],[8,4.6],[8,3.5]]]}",Nebraska,ネブラスカ,共和党（非改選）,NE,1,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[10,3.5],[9,2.9],[9,5.2],[10,4.6],[10,3.5]]]}",Nebraska,ネブラスカ,共和党（非改選）,NE,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[4,4.6],[4,3.5],[5,2.9],[5,5.2],[4,4.6]]]}",Nevada,ネバダ,改選,NV,1,30323,民主党
"{""type"":""Polygon"",""coordinates"":[[[6,4.6],[6,3.5],[5,2.9],[5,5.2],[6,4.6]]]}",Nevada,ネバダ,民主党（非改選）,NV,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[21,8.6],[22,8],[22,10.3],[21,9.7],[21,8.6]]]}",New Hampshire,ニューハンプシャー,改選,NH,1,31459,民主党
"{""type"":""Polygon"",""coordinates"":[[[23,8.6],[22,8],[22,10.3],[23,9.7],[23,8.6]]]}",New Hampshire,ニューハンプシャー,民主党（非改選）,NH,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[19,5.2],[20,4.6],[20,6.9],[19,6.3],[19,5.2]]]}",New Jersey,ニュージャージー,民主党（非改選）,NJ,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[21,5.2],[20,4.6],[20,6.9],[21,6.3],[21,5.2]]]}",New Jersey,ニュージャージー,民主党（非改選）,NJ,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[6,1.2],[6,0.1],[7,-0.5],[7,1.8],[6,1.2]]]}",New Mexico,ニューメキシコ,民主党（非改選）,NM,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[8,1.2],[8,0.1],[7,-0.5],[7,1.8],[8,1.2]]]}",New Mexico,ニューメキシコ,民主党（非改選）,NM,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[18,6.9],[19,6.3],[19,8.6],[18,8],[18,6.9]]]}",New York,ニューヨーク,改選,NY,1,39242,民主党
"{""type"":""Polygon"",""coordinates"":[[[20,6.9],[19,6.3],[19,8.6],[20,8],[20,6.9]]]}",New York,ニューヨーク,民主党（非改選）,NY,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[17,1.8],[18,1.2],[18,3.5],[17,2.9],[17,1.8]]]}",North Carolina,ノースカロライナ,改選,NC,1,35384,共和党
"{""type"":""Polygon"",""coordinates"":[[[19,1.8],[18,1.2],[18,3.5],[19,2.9],[19,1.8]]]}",North Carolina,ノースカロライナ,共和党（非改選）,NC,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[6,6.9],[7,6.3],[7,8.6],[6,8],[6,6.9]]]}",North Dakota,ノースダコタ,改選,ND,1,35541,共和党
"{""type"":""Polygon"",""coordinates"":[[[8,6.9],[7,6.3],[7,8.6],[8,8],[8,6.9]]]}",North Dakota,ノースダコタ,共和党（非改選）,ND,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[15,5.2],[16,4.6],[16,6.9],[15,6.3],[15,5.2]]]}",Ohio,オハイオ,改選,OH,1,36780,共和党
"{""type"":""Polygon"",""coordinates"":[[[17,5.2],[16,4.6],[16,6.9],[17,6.3],[17,5.2]]]}",Ohio,オハイオ,民主党（非改選）,OH,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[8,0.1],[9,-0.5],[9,1.8],[8,1.2],[8,0.1]]]}",Oklahoma,オクラホマ,改選,OK,1,38145,共和党
"{""type"":""Polygon"",""coordinates"":[[[10,0.1],[9,-0.5],[9,1.8],[10,1.2],[10,0.1]]]}",Oklahoma,オクラホマ,改選,OK,2,38620,共和党
"{""type"":""Polygon"",""coordinates"":[[[3,5.2],[2,4.6],[2,3.5],[3,2.9],[3,5.2]]]}",Oregon,オレゴン,改選,OR,1,38808,民主党
"{""type"":""Polygon"",""coordinates"":[[[3,5.2],[4,4.6],[4,3.5],[3,2.9],[3,5.2]]]}",Oregon,オレゴン,民主党（非改選）,OR,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[17,5.2],[18,4.6],[18,6.9],[17,6.3],[17,5.2]]]}",Pennsylvania,ペンシルベニア,改選,PA,1,39002,民主党
"{""type"":""Polygon"",""coordinates"":[[[19,5.2],[18,4.6],[18,6.9],[19,6.3],[19,5.2]]]}",Pennsylvania,ペンシルベニア,民主党（非改選）,PA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[19,-5.3],[20,-5.9],[20,-3.6],[19,-4.2],[19,-5.3]]]}",Puerto Rico,プエルトリコ,,PR,1,,
"{""type"":""Polygon"",""coordinates"":[[[21,-5.3],[20,-5.9],[20,-3.6],[21,-4.2],[21,-5.3]]]}",Puerto Rico,プエルトリコ,,PR,2,,
"{""type"":""Polygon"",""coordinates"":[[[22,8],[22,6.9],[23,6.3],[23,8.6],[22,8]]]}",Rhode Island,ロードアイランド,民主党（非改選）,RI,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[24,8],[24,6.9],[23,6.3],[23,8.6],[24,8]]]}",Rhode Island,ロードアイランド,民主党（非改選）,RI,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[16,0.1],[17,-0.5],[17,1.8],[16,1.2],[16,0.1]]]}",South Carolina,サウスカロライナ,改選,SC,1,41849,共和党
"{""type"":""Polygon"",""coordinates"":[[[18,0.1],[17,-0.5],[17,1.8],[18,1.2],[18,0.1]]]}",South Carolina,サウスカロライナ,共和党（非改選）,SC,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[7,6.3],[7,5.2],[8,4.6],[8,6.9],[7,6.3]]]}",South Dakota,サウスダコタ,改選,SD,1,42426,共和党
"{""type"":""Polygon"",""coordinates"":[[[9,6.3],[9,5.2],[8,4.6],[8,6.9],[9,6.3]]]}",South Dakota,サウスダコタ,共和党（非改選）,SD,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[13,2.9],[13,1.8],[14,1.2],[14,3.5],[13,2.9]]]}",Tennessee,テネシー,共和党（非改選）,TN,1,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[15,2.9],[15,1.8],[14,1.2],[14,3.5],[15,2.9]]]}",Tennessee,テネシー,共和党（非改選）,TN,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[7,-0.5],[7,-1.6],[8,-2.2],[8,0.1],[7,-0.5]]]}",Texas,テキサス,共和党（非改選）,TX,1,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[9,-0.5],[9,-1.6],[8,-2.2],[8,0.1],[9,-0.5]]]}",Texas,テキサス,共和党（非改選）,TX,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[7,2.9],[7,1.8],[8,1.2],[8,3.5],[7,2.9]]]}",Utah,ユタ,改選,UT,1,46329,残り
"{""type"":""Polygon"",""coordinates"":[[[9,2.9],[9,1.8],[8,1.2],[8,3.5],[9,2.9]]]}",Utah,ユタ,共和党（非改選）,UT,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[19,8.6],[20,8],[20,10.3],[19,9.7],[19,8.6]]]}",Vermont,バーモント,改選,VT,1,46373,民主党
"{""type"":""Polygon"",""coordinates"":[[[21,8.6],[20,8],[20,10.3],[21,9.7],[21,8.6]]]}",Vermont,バーモント,民主党（非改選）,VT,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[15,2.9],[15,1.8],[16,1.2],[16,3.5],[15,2.9]]]}",Virginia,バージニア,民主党（非改選）,VA,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[17,2.9],[17,1.8],[16,1.2],[16,3.5],[17,2.9]]]}",Virginia,バージニア,民主党（非改選）,VA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[2,8],[3,8.6],[3,6.3],[2,6.9],[2,8]]]}",Washington,ワシントン,改選,WA,1,11,民主党
"{""type"":""Polygon"",""coordinates"":[[[4,8],[3,8.6],[3,6.3],[4,6.9],[4,8]]]}",Washington,ワシントン,民主党（非改選）,WA,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[14,3.5],[15,2.9],[15,5.2],[14,4.6],[14,3.5]]]}",West Virginia,ウエストバージニア,民主党（非改選）,WV,1,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[16,3.5],[15,2.9],[15,5.2],[16,4.6],[16,3.5]]]}",West Virginia,ウエストバージニア,共和党（非改選）,WV,2,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[10,8],[10,6.9],[11,6.3],[11,8.6],[10,8]]]}",Wisconsin,ウィスコンシン,改選,WI,1,50885,共和党
"{""type"":""Polygon"",""coordinates"":[[[12,8],[12,6.9],[11,6.3],[11,8.6],[12,8]]]}",Wisconsin,ウィスコンシン,民主党（非改選）,WI,2,,民主党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[5,5.2],[6,4.6],[6,6.9],[5,6.3],[5,5.2]]]}",Wyoming,ワイオミング,共和党（非改選）,WY,1,,共和党（非改選）
"{""type"":""Polygon"",""coordinates"":[[[7,5.2],[6,4.6],[6,6.9],[7,6.3],[7,5.2]]]}",Wyoming,ワイオミング,共和党（非改選）,WY,2,,共和党（非改選）
